Day,Open,High,Low,Close,Adj Close,Volume
48,11292.5643,11355.9519,11215.2222,11344.4942,11344.4942,28913893
49,11378.1396,11379.5699,11251.4001,11274.108,11274.108,36302141
50,11319.1325,11382.7964,11229.2541,11289.1765,11289.1765,27949123
51,11120.6422,11166.0056,11081.9983,11163.9751,11163.9751,30281907
52,11131.2613,11256.2941,11129.9844,11256.289,11256.289,37180714
53,10955.3384,10955.3384,10630.0248,10660.1421,10660.1421,56798936
54,10607.5264,10785.5344,10568.1163,10785.5344,10785.5344,42184774
55,10923.5188,11110.3229,10915.3936,11110.3229,11110.3229,44973048
56,10872.8651,10944.8163,10812.3781,10944.8163,10944.8163,38809105
57,11028.4297,11053.1371,10896.2293,10980.747,10980.747,34259223
58,11093.852,11156.28,11051.8879,11125.9426,11125.9426,27403625
59,11105.9203,11186.6708,11078.4734,11078.4734,11078.4734,20634379
60,11037.3435,11151.3052,11006.2624,11129.7637,11129.7637,26866852
61,11151.7358,11151.7358,11059.2189,11101.5907,11101.5907,33377074
62,11193.6334,11295.7323,11152.5403,11247.8007,11247.8007,38225372
63,11286.3999,11343.3227,11242.9365,11251.8574,11251.8574,33936802
64,11170.3206,11275.4965,11161.7303,11244.98,11244.98,27782426
65,11339.7586,11515.2757,11309.6759,11441.9494,11441.9494,34043086
66,11402.6283,11412.176,11333.6504,11333.6504,11333.6504,33801257
67,11301.1842,11333.3068,11266.4953,11302.4418,11302.4418,26393046
68,11327.0322,11387.2691,11298.6018,11315.2539,11315.2539,34607714
69,11316.5005,11335.2229,11281.3021,11312.3448,11312.3448,26215559
70,11375.7521,11421.7003,11360.4065,11399.6286,11399.6286,25513315
71,11432.2749,11570.4796,11424.9508,11551.7585,11551.7585,31592718
72,11620.1328,11687.4492,11591.3855,11598.8704,11598.8704,39924063
73,11532.8892,11591.797,11495.6114,11540.1894,11540.1894,33161431
74,11496.7294,11521.1044,11448.8073,11460.4916,11460.4916,30531943
75,11593.0009,11632.5689,11551.6798,11618.7117,11618.7117,34081388
76,11514.5027,11571.8498,11494.7939,11564.8434,11564.8434,34091426
77,11614.7989,11668.4398,11607.7241,11636.0903,11636.0903,33183016
78,11701.3949,11716.4472,11644.5559,11702.0246,11702.0246,38915853
79,11704.7089,11739.1292,11682.8199,11733.1762,11733.1762,39006046
80,11804.9289,11804.9289,11730.8408,11755.0219,11755.0219,31931791
81,11707.2216,11707.3566,11622.8176,11683.2694,11683.2694,33559138
82,11762.8071,11828.8684,11753.676,11798.4714,11798.4714,33277279
83,11692.5727,11700.709,11641.426,11664.3973,11664.3973,41341175
84,11707.9393,11733.0039,11674.736,11715.5788,11715.5788,35323931
85,11783.8783,11885.7808,11769.0122,11880.2059,11880.2059,39851855
86,11809.9911,11908.5368,11798.7248,11893.5045,11893.5045,35463883
